title,company,location,how_old,link_job
Desenvolvedor(a) Ruby Fullstack,Iniciativa Assessoria em Recursos Humanos,Brasil,há 20 dias,https://br.indeed.com/rc/clk?jk=1feb8f48f2d47e65&fccid=dc947c1a530a5619&vjs=3
Desenvolvedor(a) Backend | Personalização,PicPay,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=8317327ac97c0fca&fccid=c031daea3b1126ba&vjs=3
Analista de Web,#VEMPRAIT4US,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=5b38be49c4abedbd&fccid=90cc3df022a3bc97&vjs=3
Consultor de Tecnologia Junior,DXC Technology,Estado de São Paulo,há 4 dias,https://br.indeed.com/rc/clk?jk=b9c1484340f417da&fccid=feaabf8e6a699d3c&vjs=3
Desenvolvedor Web,Curriculum.com.br,"Porto Alegre, RS",há 11 dias,https://br.indeed.com/rc/clk?jk=65935bb8355406e1&fccid=22d7ce555383096d&vjs=3
Desenvolvedor Sênior - BV,Buscar Vagas,"Rio de Janeiro, RJ",há 1 dia,https://br.indeed.com/rc/clk?jk=c6fd193c755f6b49&fccid=cd25ed76f1946ad0&vjs=3
Desenvolvedor Fullstack,Herospark,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=abd8836849ff2270&fccid=246eab63600527dd&vjs=3
Programador Full Stack Ruby (Remoto) – Remotamente – CE,Divulga Vagas,"Fortaleza, CE",há 28 dias,https://br.indeed.com/rc/clk?jk=b948e0637914140b&fccid=1abbffd7f44ec1e9&vjs=3
Engenheiro de Segurança APPSEC,Iventis,"São Paulo, SP",há 26 dias,https://br.indeed.com/rc/clk?jk=1a082d85cc4d339e&fccid=bc900bcfa36becde&vjs=3
Desenvolvedor(a) Ruby Fullstack,Iniciativa Assessoria em Recursos Humanos,Brasil,há 20 dias,https://br.indeed.com/rc/clk?jk=1feb8f48f2d47e65&fccid=dc947c1a530a5619&vjs=3
Pessoa Desenvolvedora Back-End,PayGo Pagamentos,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e90b85f5ec903a5e&fccid=86a771524ff50407&vjs=3
Gympass - Senior Backend Engineer,Page Outsourcing,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=3e4628db93dc28e7&fccid=fc1baebad91dc0fa&vjs=3
QA SALESFORCE PL,Grupo FCamara,"Vila Olímpia, SP",há 13 dias,https://br.indeed.com/rc/clk?jk=a6ba4c8661fb662b&fccid=c4937ec65ff6c5bd&vjs=3
Desenvolvedor Java/ Sênior – Porto Alegre – RS,Divulga Vagas,"Porto Alegre, RS",há 16 dias,https://br.indeed.com/rc/clk?jk=8ff0e9373d1b6101&fccid=1abbffd7f44ec1e9&vjs=3
Desenvolvedor(a) WEB RPA,Iniciativa Assessoria em Recursos Humanos,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2df04dbadf267e4b&fccid=dc947c1a530a5619&vjs=3
Engº QA Mobile,Iventis,"São Paulo, SP",há 26 dias,https://br.indeed.com/rc/clk?jk=be4caaa1f38ba299&fccid=bc900bcfa36becde&vjs=3
Game Dev Engineer - AWS Learning Products,Amazon AWS Services Brazil Ltd,"São Paulo, SP",há 2 dias,https://br.indeed.com/rc/clk?jk=229029cd08b5db2b&fccid=fe2d21eef233e94a&vjs=3
SysOps,Techne,"Fortaleza, CE",há 18 dias,https://br.indeed.com/rc/clk?jk=8cfc5ff4da2b5d14&fccid=5311e3f53388507a&vjs=3
Liderança de Currículo - Desenvolvimento Web,Trybe,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=3735b7638161ad48&fccid=3d56ca24276df437&vjs=3
IT Senior Sales Manager,GrooveTech,"São Paulo, SP",há 11 dias,https://br.indeed.com/rc/clk?jk=4e99547e67a5a0ef&fccid=747901ab5fc5c5e4&vjs=3
Analista de Qualidade Pl/Sr.,Mazzatech,"Vila Olímpia, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4dacc785a91752bb&fccid=7d320c75db933aec&vjs=3
Engenheiro(a) DevOps (Remoto),Blu,"Rio de Janeiro, RJ",há 12 dias,https://br.indeed.com/rc/clk?jk=ad0e10dc48e25e27&fccid=641ef99ce9e55e35&vjs=3
Full Stack Engineer,Delivery Center,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=da237f7dfcd0dc29&fccid=042834906eac0956&vjs=3
Desenvolvedor Sênior de Software - Área de projetos e inovação,Investtools,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=cc4cbbd4ad73b588&fccid=5dfcf7629b4f6742&vjs=3
Analista Desenvolvedor de Sistemas III (Elo-Java),Atos,"Londrina, PR",há 3 dias,https://br.indeed.com/rc/clk?jk=d0097bae899e91f4&fccid=ee6a99db163236c2&vjs=3
Líder em Engenharia de Software,Tempest,"Recife, PE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=8bea40a73b74f5ab&fccid=5694053ccc30dc57&vjs=3
Analista Programador Front-End,Verx Consulting,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2542ba0641c648dc&fccid=24d1ca9980501b61&vjs=3
Desenvolvedor(a) Web,Divulga Vagas,"Chapecó, SC",há 16 dias,https://br.indeed.com/rc/clk?jk=82babdf68f9400f3&fccid=1abbffd7f44ec1e9&vjs=3
Senior or Mid-Level Ruby on Rails Developer (International Project),Visionnaire,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=fb1f636c8ea51ee1&fccid=2aacee86c2027be3&vjs=3
Líder Técnico em Engenharia de Software,Tempest,"Recife, PE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=40c2d8035c2301f0&fccid=5694053ccc30dc57&vjs=3
NEON - Desenvolvedor Service Now - Noc,Neon,"São Paulo, SP",há 9 dias,https://br.indeed.com/rc/clk?jk=494fdf23d4b12d51&fccid=70dcb313de6ce890&vjs=3
Site Reliability Engineer (Dog Hero),DogHero,"São Paulo, SP",há 17 dias,https://br.indeed.com/rc/clk?jk=46a67be1ef663099&fccid=c508568edc60defd&vjs=3
Tech Lead Ruby,Petlove,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=43c2a9375421aa45&fccid=44dbd76bfe3fe244&vjs=3
Senior Ruby on Rails Developer (stack moderno e tempo para aprender e aplicar melhores práticas),Flama,Remoto,há 14 dias,https://br.indeed.com/rc/clk?jk=1bd9a2b04821754c&fccid=2fc2238fefd36161&vjs=3
Arquiteto(a) Cloud / DevOps,Soft Expert,"Joinville, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2c1cdcb34e6638f1&fccid=aebca56a7896a4fc&vjs=3
Senior Cloud Engineer,WEX Inc.,Brasil,Hoje,https://br.indeed.com/rc/clk?jk=4a6c3537718c4509&fccid=c9538b927313f8e0&vjs=3
Production Engineer (DevOps),Creditas,"São Paulo, SP",há 3 dias,https://br.indeed.com/rc/clk?jk=db587fd40cead1f1&fccid=5938c0542db98e69&vjs=3
Desenvolvedor Back-end Jr.,Trampolin,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=b2f20840eccfbf91&fccid=01233cf3d3bd3dde&vjs=3
Desenvolvedor Sênior - Projetos,Investtools,"Rio de Janeiro, RJ",há 12 dias,https://br.indeed.com/rc/clk?jk=4c98043ad82b90b8&fccid=5dfcf7629b4f6742&vjs=3
Programador Full Stack Ruby - PORTO ALEGRE - 1 VAGA,Não encontrada,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2e6971715098233f&fccid=dd616958bd9ddc12&vjs=3
Full stack Developer,Pulsus,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=c20dec33922c5adc&fccid=4f6b2ba667bb2543&vjs=3
Desenvolvedor Full Stack,Meubank,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=09247ccf20ffc966&fccid=0d0d7b1f413df81b&vjs=3
Desenvolvedor full-stack Ruby,Moltrio,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=3d724a8b3b463448&fccid=79a60370339d7a07&vjs=3
Analista de Segurança da Informação III (Pentest),Tempest,Brasil,há 12 dias,https://br.indeed.com/rc/clk?jk=d7cbf8e59976528a&fccid=5694053ccc30dc57&vjs=3
Desenvolvedor,Curriculum.com.br,"Curitiba, PR",há 5 dias,https://br.indeed.com/rc/clk?jk=925fc2bd57ee63b3&fccid=22d7ce555383096d&vjs=3
